GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US63473,63473,"ZIP 63473 (Williamstown, MO)",00,Total for all sectors,2013,2,a,D,D
8610000US63474,63474,"ZIP 63474 (Wyaconda, MO)",00,Total for all sectors,2013,6,32,235,970
8610000US63501,63501,"ZIP 63501 (Kirksville, MO)",00,Total for all sectors,2013,618,8328,51052,210372
8610000US63530,63530,"ZIP 63530 (Atlanta, MO)",00,Total for all sectors,2013,12,33,S,400
8610000US63531,63531,"ZIP 63531 (Baring, MO)",00,Total for all sectors,2013,5,b,D,D
8610000US63532,63532,"ZIP 63532 (Bevier, MO)",00,Total for all sectors,2013,20,76,298,1449
8610000US63533,63533,"ZIP 63533 (Brashear, MO)",00,Total for all sectors,2013,8,a,D,D
8610000US63534,63534,"ZIP 63534 (Callao, MO)",00,Total for all sectors,2013,8,37,82,735
8610000US63535,63535,"ZIP 63535 (Coatsville, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63536,63536,"ZIP 63536 (Downing, MO)",00,Total for all sectors,2013,13,35,116,594
8610000US63537,63537,"ZIP 63537 (Edina, MO)",00,Total for all sectors,2013,64,348,1821,8845
8610000US63538,63538,"ZIP 63538 (Elmer, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63539,63539,"ZIP 63539 (Ethel, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63541,63541,"ZIP 63541 (Glenwood, MO)",00,Total for all sectors,2013,4,a,D,D
8610000US63543,63543,"ZIP 63543 (Gorin, MO)",00,Total for all sectors,2013,3,a,S,216
8610000US63544,63544,"ZIP 63544 (Green Castle, MO)",00,Total for all sectors,2013,4,a,D,D
8610000US63545,63545,"ZIP 63545 (Green City, MO)",00,Total for all sectors,2013,18,95,710,3156
8610000US63546,63546,"ZIP 63546 (Greentop, MO)",00,Total for all sectors,2013,10,50,234,1416
8610000US63547,63547,"ZIP 63547 (Hurdland, MO)",00,Total for all sectors,2013,6,b,D,D
8610000US63548,63548,"ZIP 63548 (Lancaster, MO)",00,Total for all sectors,2013,40,163,1176,5238
8610000US63549,63549,"ZIP 63549 (La Plata, MO)",00,Total for all sectors,2013,34,164,817,3383
8610000US63551,63551,"ZIP 63551 (Livonia, MO)",00,Total for all sectors,2013,1,a,D,D
8610000US63552,63552,"ZIP 63552 (Macon, MO)",00,Total for all sectors,2013,248,2887,19735,82803
8610000US63555,63555,"ZIP 63555 (Memphis, MO)",00,Total for all sectors,2013,108,751,5016,20306
8610000US63556,63556,"ZIP 63556 (Milan, MO)",00,Total for all sectors,2013,84,1903,14326,61192
8610000US63557,63557,"ZIP 63557 (New Boston, MO)",00,Total for all sectors,2013,2,a,D,D
8610000US63558,63558,"ZIP 63558 (New Cambria, MO)",00,Total for all sectors,2013,13,72,288,1135
8610000US63559,63559,"ZIP 63559 (Novinger, MO)",00,Total for all sectors,2013,4,a,S,265
8610000US63560,63560,"ZIP 63560 (Pollock, MO)",00,Total for all sectors,2013,4,a,S,60
8610000US63561,63561,"ZIP 63561 (Queen City, MO)",00,Total for all sectors,2013,19,58,S,1196
8610000US63563,63563,"ZIP 63563 (Rutledge, MO)",00,Total for all sectors,2013,5,a,D,D
8610000US63565,63565,"ZIP 63565 (Unionville, MO)",00,Total for all sectors,2013,74,561,3328,14175
8610000US63566,63566,"ZIP 63566 (Winigan, MO)",00,Total for all sectors,2013,2,a,D,D
8610000US63567,63567,"ZIP 63567 (Worthington, MO)",00,Total for all sectors,2013,2,a,D,D
8610000US63601,63601,"ZIP 63601 (Park Hills, MO)",00,Total for all sectors,2013,362,3861,25806,107924
8610000US63620,63620,"ZIP 63620 (Annapolis, MO)",00,Total for all sectors,2013,29,e,D,D
8610000US63621,63621,"ZIP 63621 (Arcadia, MO)",00,Total for all sectors,2013,35,c,425,1853
8610000US63622,63622,"ZIP 63622 (Belgrade, MO)",00,Total for all sectors,2013,17,50,214,1670
8610000US63623,63623,"ZIP 63623 (Belleview, MO)",00,Total for all sectors,2013,14,c,D,D
8610000US63624,63624,"ZIP 63624 (Bismarck, MO)",00,Total for all sectors,2013,74,242,1161,5352
8610000US63625,63625,"ZIP 63625 (Black, MO)",00,Total for all sectors,2013,7,a,37,187
8610000US63626,63626,"ZIP 63626 (Blackwell, MO)",00,Total for all sectors,2013,12,a,D,D
8610000US63627,63627,"ZIP 63627 (Bloomsdale, MO)",00,Total for all sectors,2013,54,f,D,D
8610000US63628,63628,"ZIP 63628 (Bonne Terre, MO)",00,Total for all sectors,2013,237,1829,10059,42421
8610000US63629,63629,"ZIP 63629 (Bunker, MO)",00,Total for all sectors,2013,28,e,D,D
