GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US63138,63138,"ZIP 63138 (Saint Louis, MO)",00,Total for all sectors,2009,204,2166,G,13332,G,55289,G
8610000US63139,63139,"ZIP 63139 (Saint Louis, MO)",00,Total for all sectors,2009,658,10363,G,84903,G,351494,G
8610000US63140,63140,"ZIP 63140 (Saint Louis, MO)",00,Total for all sectors,2009,13,261,G,1200,G,5239,G
8610000US63141,63141,"ZIP 63141 (Saint Louis, MO)",00,Total for all sectors,2009,1871,47362,G,675210,G,2575388,G
8610000US63143,63143,"ZIP 63143 (Saint Louis, MO)",00,Total for all sectors,2009,420,7409,G,77280,G,291961,G
8610000US63144,63144,"ZIP 63144 (Saint Louis, MO)",00,Total for all sectors,2009,698,12441,G,140264,G,533523,G
8610000US63145,63145,"ZIP 63145 (Saint Louis, MO)",00,Total for all sectors,2009,49,3824,G,49309,G,203687,G
8610000US63146,63146,"ZIP 63146 (Saint Louis, MO)",00,Total for all sectors,2009,1036,23583,G,309818,G,1172670,G
8610000US63147,63147,"ZIP 63147 (Saint Louis, MO)",00,Total for all sectors,2009,326,10270,G,108655,G,438684,G
8610000US63151,63151,"ZIP 63151 (Saint Louis, MO)",00,Total for all sectors,2009,14,c,S,1415,H,6362,H
8610000US63155,63155,"ZIP 63155 (Saint Louis, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
8610000US63156,63156,"ZIP 63156 (Saint Louis, MO)",00,Total for all sectors,2009,5,40,G,86,G,340,G
8610000US63157,63157,"ZIP 63157 (Saint Louis, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
8610000US63158,63158,"ZIP 63158 (Saint Louis, MO)",00,Total for all sectors,2009,2,a,D,D,D,D,D
8610000US63160,63160,"ZIP 63160 (Saint Louis, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
8610000US63163,63163,"ZIP 63163 (Saint Louis, MO)",00,Total for all sectors,2009,12,384,G,3786,G,13682,G
8610000US63164,63164,"ZIP 63164 (Saint Louis, MO)",00,Total for all sectors,2009,5,g,D,D,D,D,D
8610000US63166,63166,"ZIP 63166 (Saint Louis, MO)",00,Total for all sectors,2009,17,f,D,D,D,D,D
8610000US63167,63167,"ZIP 63167 (Saint Louis, MO)",00,Total for all sectors,2009,14,573,G,5771,G,33914,G
8610000US63177,63177,"ZIP 63177 (Saint Louis, MO)",00,Total for all sectors,2009,6,c,D,D,D,D,D
8610000US63178,63178,"ZIP 63178 (Saint Louis, MO)",00,Total for all sectors,2009,4,f,D,D,D,D,D
8610000US63180,63180,"ZIP 63180 (Saint Louis, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
